    41/499     13.7G   0.06052    0.1006    0.0105    0.1717        47       640    0.1944    0.2805    0.1709    0.0395   0.06493   0.07106   0.02063
    42/499     13.7G   0.06074    0.1011   0.01051    0.1723        22       640    0.2361    0.3686     0.232   0.05526   0.06239   0.07341   0.01136
    43/499     13.7G   0.06054    0.1008   0.01017    0.1715        25       640    0.3121     0.293    0.2562   0.06832   0.06059    0.0706     0.017
    44/499     13.7G   0.06022    0.1006   0.01014     0.171        12       640    0.2696    0.2473    0.1962   0.05049    0.0611   0.07066   0.02087
    45/499     13.7G   0.06042    0.1011   0.01041     0.172        68       640    0.2583    0.3474    0.2594   0.06851   0.05845   0.07089   0.01534
    46/499     13.7G   0.06017    0.1005    0.0103    0.1709        26       640    0.3526       0.3    0.2514   0.06623   0.06091   0.07099   0.01826
    47/499     13.7G    0.0604   0.09972   0.01024    0.1704        12       640    0.2853    0.3579    0.2781    0.0741   0.05863   0.07149   0.01374
    48/499     13.7G   0.06058   0.09999   0.01042     0.171        15       640    0.2593    0.3793    0.2824    0.0735   0.05851   0.06995   0.01181
    49/499     13.7G   0.06037    0.1015   0.01026    0.1721        56       640    0.3122    0.3483    0.2976   0.07886   0.05827   0.07005    0.0119
    50/499     13.7G   0.06038    0.1012   0.01023    0.1718        29       640    0.2571    0.4161    0.2804   0.07254    0.0591   0.07136   0.01199
    51/499     13.7G   0.06039    0.1006   0.01026    0.1713        16       640    0.3342    0.3674    0.3098   0.08107   0.05841   0.07043   0.01244
    52/499     13.7G   0.05986    0.1005   0.01008    0.1704        26       640    0.2695    0.3259    0.2475   0.06489    0.0597   0.07109    0.0152
    53/499     13.7G   0.06013       0.1   0.01008    0.1702        42       640    0.2653     0.399    0.2909   0.07582   0.05914    0.0695   0.01406
    54/499     13.7G   0.06015    0.1009   0.01038    0.1714        25       640    0.3133    0.3521    0.2847   0.07309   0.05952   0.07189   0.01277
    55/499     13.7G      0.06   0.09988   0.01022    0.1701        18       640    0.2317    0.3707     0.242   0.06029   0.06094   0.07319   0.01277
    56/499     13.7G      0.06   0.09977   0.01031    0.1701        12       640    0.3133    0.3809    0.3239   0.08751    0.0576   0.06974   0.01276
    57/499     13.7G   0.06012   0.09974   0.01012      0.17        20       640    0.2653    0.3952     0.273   0.07075   0.05833   0.07207   0.01126
    58/499     13.7G   0.06018    0.1007  0.009878    0.1708        21       640    0.3173     0.362    0.3154   0.08468   0.05848    0.0695    0.0141
    59/499     13.7G   0.06006    0.1011  0.009927     0.171        39       640    0.2918    0.4273    0.3127   0.08562   0.05702    0.0693   0.01142
    60/499     13.7G   0.05977    0.1024  0.009955    0.1721        66       640    0.3087    0.4267    0.3191   0.08471   0.05736   0.07064   0.01099
    61/499     13.7G   0.05974    0.1002   0.01001    0.1699        23       640    0.2638    0.4107    0.2976    0.0802   0.05836   0.06943   0.01374
    62/499     13.7G   0.05991   0.09854   0.01002    0.1685        27       640    0.2803    0.3792    0.2944    0.0793   0.05795   0.06944    0.0137
