     0/199     6.35G   0.09511    0.1044   0.06325    0.2627        20       640  4.09e-05   0.01117 7.454e-06 9.607e-07   0.08654   0.07536   0.06138
     1/199     6.71G   0.09019    0.1109   0.05571    0.2568        17       640  0.006396   0.02871   0.00169 0.0003099   0.08396   0.07536   0.05933
     2/199     9.43G   0.08382    0.1096   0.04896    0.2423        19       640    0.1296   0.09713  0.006234  0.001226   0.07852   0.07714   0.05427
     3/199     9.43G   0.07831    0.1092   0.04391    0.2314        24       640    0.3731    0.1044   0.01997  0.003976   0.07624    0.0797   0.04531
     4/199     9.43G   0.07128     0.105   0.03477     0.211        44       640    0.1949    0.1539   0.04658  0.009555   0.06822   0.07571   0.03865
     5/199     9.43G   0.06743     0.103   0.02748     0.198        41       640    0.2349    0.1378   0.05467   0.01247   0.07074   0.07808   0.03895
     6/199     9.43G   0.06471   0.09984   0.02331    0.1879        24       640    0.1748    0.2357   0.04576   0.01076   0.07255   0.08671   0.05406
     7/199     9.43G   0.06316    0.1002   0.02077    0.1841        15       640    0.1052    0.1465   0.04841   0.01072   0.06869   0.08281    0.0487
     8/199     9.43G   0.06168    0.1012   0.01874    0.1816        36       640    0.2473    0.2106    0.0882   0.02238    0.0648   0.07976   0.04518
     9/199     9.43G   0.06036    0.1004   0.01751    0.1782        28       640      0.28     0.277    0.1526   0.03838   0.06009   0.07273   0.03125
    10/199     9.43G   0.05936    0.1021   0.01632    0.1778        23       640    0.1997    0.2913    0.1636   0.04405   0.05853   0.07187   0.02982
    11/199     9.43G   0.05809   0.09834   0.01519    0.1716        37       640    0.3085      0.24    0.1346   0.03526   0.06102   0.07551    0.0309
    12/199     9.43G   0.05765   0.09926   0.01512     0.172        17       640    0.2235    0.3556    0.1823   0.04737   0.05891   0.07147   0.02731
    13/199     9.43G   0.05699   0.09788   0.01454    0.1694        24       640    0.2114    0.3054    0.1806   0.04895   0.05845    0.0746   0.02685
    14/199     9.43G   0.05628   0.09839   0.01408    0.1688        20       640    0.3417    0.2337    0.1806   0.04932   0.05901   0.07344   0.04106
    15/199     9.43G   0.05604   0.09753   0.01332    0.1669        32       640    0.3141      0.37    0.2235   0.06007   0.05683   0.07227   0.02464
    16/199     9.43G   0.05548   0.09664   0.01294    0.1651        31       640    0.2702    0.3418    0.2109   0.05798   0.05655   0.07282   0.02671
    17/199     9.43G   0.05516   0.09693   0.01282    0.1649        25       640    0.2678    0.3124      0.22   0.06407   0.05669   0.07087   0.02934
    18/199     6.88G   0.05509   0.09858   0.01248    0.1661        37       640    0.2788    0.3203    0.2205   0.06115   0.05689   0.07083   0.02526
    19/199     6.79G   0.05478   0.09799   0.01261    0.1654        14       640    0.2856     0.287    0.2213   0.06408   0.05595   0.07208   0.02891
    20/199     6.97G   0.05483   0.09754    0.0121    0.1645        39       640    0.3852    0.2899     0.239   0.06401   0.05558   0.07083    0.0276
    21/199     6.78G   0.05433   0.09644   0.01161    0.1624         9       640    0.3352    0.3001    0.2535   0.07163   0.05658   0.07246   0.02462
    22/199     6.95G   0.05411   0.09608   0.01165    0.1618        30       640    0.2877    0.3609     0.259    0.0756   0.05602   0.07089    0.0258
    23/199     6.81G   0.05374   0.09644   0.01114    0.1613        31       640    0.3937    0.3018    0.2267   0.06513     0.056   0.07048   0.02246
    24/199      6.9G   0.05368   0.09647   0.01093    0.1611        41       640    0.2925    0.3265    0.2343    0.0664   0.05641   0.07223    0.0288
    25/199     6.91G   0.05324   0.09526   0.01107    0.1596        42       640    0.2938     0.498    0.2698   0.07585    0.0559   0.07062   0.02609
    26/199     6.91G   0.05325   0.09504   0.01086    0.1591        10       640    0.3226    0.3012    0.2358    0.0669   0.05835   0.07371   0.02247
    27/199     6.84G   0.05293   0.09509   0.01056    0.1586        35       640    0.3383    0.3522    0.2516    0.0692   0.05564   0.07264   0.02556
    28/199     6.76G   0.05293   0.09559   0.01047     0.159        13       640    0.3859    0.3447    0.2582   0.07295   0.05547   0.07115   0.02614
    29/199     6.83G   0.05283   0.09467   0.01008    0.1576        28       640    0.3494    0.3388    0.2457   0.07193   0.05538   0.07042   0.02777
    30/199     6.83G   0.05261   0.09373    0.0103    0.1566        19       640    0.3314    0.3486    0.2691   0.07985   0.05561   0.07058   0.02289
    31/199     6.84G   0.05256   0.09561   0.01006    0.1582        29       640    0.2974    0.3389    0.2525   0.07349   0.05562   0.07204   0.02124
    32/199     6.84G   0.05243   0.09352   0.01005     0.156        35       640    0.4149    0.3467    0.2836   0.07869   0.05452   0.07113   0.02248
    33/199     6.87G   0.05229   0.09487  0.009789     0.157        37       640    0.3633    0.3532    0.2858   0.08183   0.05446   0.07153    0.0255
    34/199     6.76G   0.05206   0.09637  0.009613     0.158        68       640    0.3817    0.3511    0.2719   0.07961    0.0548   0.07213   0.02518
    35/199     6.84G   0.05189   0.09416  0.009719    0.1558        27       640    0.2743     0.316    0.2295   0.06791   0.05539   0.07156    0.0331
    36/199     6.84G   0.05169   0.09428    0.0094    0.1554        24       640    0.3987    0.3481    0.2685   0.07837   0.05513   0.07218   0.02627
    37/199     6.83G   0.05195   0.09436  0.009601    0.1559        25       640    0.3507    0.3582    0.2622   0.07588   0.05488   0.07163   0.02666
    38/199     6.78G   0.05154   0.09445  0.009347    0.1553        41       640     0.355    0.3364    0.2622   0.07591   0.05528   0.07269   0.02416
    39/199     6.76G   0.05123   0.09427  0.009237    0.1547        17       640     0.336    0.3423    0.2593   0.07559   0.05497   0.07153     0.024
    40/199     6.79G    0.0512   0.09287    0.0092    0.1533        26       640     0.332    0.3671    0.2926   0.08237   0.05476   0.07165   0.02342
    41/199     6.83G   0.05121   0.09437   0.00887    0.1545        35       640    0.3705    0.3545    0.2814   0.07881   0.05532   0.07304   0.02445
    42/199        7G   0.05107   0.09265  0.008886    0.1526        13       640    0.3997    0.3351    0.2528   0.07418   0.05476   0.07193   0.02655
    43/199     6.79G   0.05103   0.09321  0.008955    0.1532        37       640    0.3907    0.3439    0.2856    0.0852   0.05474   0.07059   0.02602
    44/199     6.94G   0.05107   0.09282  0.008793    0.1527        39       640    0.3529    0.3641    0.2711   0.07527   0.05462   0.07204   0.02749
    45/199     6.78G   0.05077   0.09236  0.008601    0.1517        42       640    0.3303    0.3403    0.2606   0.07711   0.05562   0.07207    0.0269
    46/199     6.79G   0.05062   0.09254  0.008525    0.1517        10       640    0.2587    0.3479    0.2442   0.07206   0.05467   0.07111   0.02669
    47/199     6.78G   0.05066   0.09129  0.008442    0.1504        25       640    0.3604    0.3547    0.2637   0.07472   0.05522   0.07287    0.0251
    48/199     6.94G   0.05041   0.09326  0.008552    0.1522        30       640    0.3095     0.343    0.2608   0.07395   0.05483    0.0727   0.02641
    49/199     6.79G   0.05041   0.09246  0.008383    0.1513        35       640    0.3311    0.3275    0.2497   0.07302   0.05512   0.07289   0.02519
    50/199     6.78G    0.0502   0.09235  0.008394    0.1509        38       640    0.3286    0.3388    0.2699   0.07882   0.05505   0.07313   0.02678
    51/199     6.81G   0.05022   0.09343  0.008236    0.1519        43       640    0.3017    0.3571    0.2383   0.07082   0.05496   0.07303   0.02918
    52/199     6.93G   0.05007   0.09322  0.008108    0.1514        43       640    0.3606    0.3615    0.2694   0.08025   0.05485   0.07265   0.02403
    53/199     10.1G   0.04999   0.09294  0.008175    0.1511        35       640    0.3217    0.3792    0.2594   0.07734   0.05497   0.07312    0.0241
    54/199     10.1G   0.04956   0.09042  0.007773    0.1478        36       640    0.3889     0.317    0.2764   0.08681   0.05478   0.07243   0.02683
    55/199     10.1G   0.04976   0.09142  0.008057    0.1492        31       640    0.3402     0.374    0.2735    0.0801   0.05515   0.07215   0.02398
    56/199     10.1G   0.04953   0.09091  0.007767    0.1482        38       640    0.3699    0.3191    0.2636   0.07422   0.05465    0.0723   0.02747
    57/199     10.1G   0.04943   0.09031  0.007733    0.1475        34       640    0.3094    0.3347    0.2502   0.07388   0.05535   0.07329   0.02849
    58/199     10.1G   0.04929   0.09097  0.007666    0.1479        46       640    0.3062    0.3782    0.2564   0.07328   0.05498   0.07272   0.02664
    59/199     10.1G   0.04916   0.09117  0.007637     0.148        25       640    0.3256    0.3228    0.2389   0.06987   0.05499    0.0736   0.02605
    60/199     10.1G   0.04917    0.0917  0.007442    0.1483        24       640    0.3241    0.3481    0.2595   0.07319   0.05457   0.07357   0.02921
    61/199     10.1G   0.04907   0.08971   0.00747    0.1462        23       640    0.3322    0.3389    0.2586   0.07499   0.05509     0.074   0.02622
