    40/199     9.54G   0.06011    0.1004   0.01003    0.1706        16       640    0.3337    0.2674    0.2397   0.06279   0.06014   0.07105   0.01576
    41/199     9.54G   0.06017    0.1005   0.01021    0.1709        47       640    0.2251      0.35    0.2439   0.06458   0.06221   0.06995   0.01465
    42/199     9.54G   0.06039     0.101   0.01038    0.1717        22       640    0.3225    0.3563    0.2769   0.07096    0.0597   0.07369   0.01349
    43/199     9.54G   0.06038    0.1005   0.01006     0.171        25       640    0.2903    0.3028    0.2597   0.06618    0.0597   0.07048   0.01287
    44/199     9.54G   0.05984    0.1004  0.009904    0.1701        12       640      0.28    0.3606    0.2846   0.07576   0.05825   0.06995   0.01267
    45/199     9.54G   0.05987    0.1009   0.01028    0.1711        68       640    0.2578    0.3551    0.2701   0.07259   0.06012   0.06955   0.01295
    46/199     9.54G    0.0598    0.1002   0.01003      0.17        26       640    0.2799    0.4033    0.3143   0.08392   0.05804   0.06988   0.01357
    47/199     9.54G   0.05978   0.09953  0.009999    0.1693        12       640    0.2501    0.3205    0.2401   0.06461   0.05991    0.0743   0.01715
    48/199     9.54G   0.05995   0.09968   0.01011    0.1697        15       640    0.2574    0.3701    0.2851   0.07641   0.05832   0.06971   0.01413
    49/199     9.54G   0.05992    0.1014   0.01009    0.1714        56       640    0.3477     0.359    0.3146   0.08227    0.0577   0.07134   0.01123
    50/199     9.54G   0.06008    0.1012   0.01018    0.1714        29       640    0.2809    0.4469    0.2969   0.07744   0.05991    0.0701   0.01231
    51/199     9.54G   0.05998    0.1004   0.01005    0.1704        16       640    0.2768    0.4047    0.2787   0.07017   0.05937   0.07517   0.01131
    52/199     9.54G    0.0594    0.1003  0.009838    0.1695        26       640    0.2701    0.4187    0.2821   0.07202   0.05968   0.07267   0.01061
    53/199     9.54G   0.05976   0.09993  0.009945    0.1696        42       640    0.2599    0.4305    0.3056   0.08119   0.05861   0.07047   0.01462
    54/199     9.54G   0.05965    0.1006   0.01008    0.1704        25       640    0.3265    0.3555    0.3153   0.08351   0.05728   0.07089   0.01247
    55/199     9.54G   0.05937    0.0995  0.009892    0.1688        18       640    0.2516    0.4014    0.2894   0.07862   0.05759   0.06954   0.01508
    56/199     9.54G    0.0594   0.09952  0.009932    0.1689        12       640    0.3038    0.4428    0.3109   0.08178   0.05727   0.07102   0.01021
    57/199     9.54G   0.05949    0.0995  0.009842    0.1688        20       640     0.307    0.3413    0.3112    0.0856   0.05703   0.06993   0.01301
    58/199     9.54G   0.05972    0.1006  0.009606    0.1699        21       640    0.2709    0.3924    0.2833    0.0732   0.05881   0.07177   0.01234
    59/199     9.54G   0.05952    0.1007  0.009642    0.1699        39       640    0.2993    0.4376     0.321   0.08486   0.05774   0.07006     0.012
    60/199     9.54G   0.05923     0.102  0.009612    0.1709        66       640    0.2641    0.4187    0.3065   0.08375   0.05729    0.0716   0.01215
    61/199     9.54G    0.0592   0.09982  0.009624    0.1686        23       640    0.2307    0.4178    0.2932   0.07981   0.05769   0.06978   0.01527
    62/199     9.54G    0.0593   0.09805   0.00956    0.1669        27       640    0.3057    0.4445    0.3318   0.09033   0.05743   0.06896   0.01029
    63/199     9.54G   0.05903   0.09977  0.009743    0.1685        35       640    0.2301    0.4155    0.2789   0.07583   0.05796   0.07042   0.01415
    64/199     9.54G   0.05903   0.09941   0.00987    0.1683        13       640    0.2925    0.3588    0.3178    0.0878   0.05761   0.06935    0.0129
    65/199     9.54G    0.0591   0.09878  0.009532    0.1674        18       640     0.304    0.3865    0.3195    0.0872    0.0573   0.07017   0.01172
    66/199     9.54G   0.05928   0.09932  0.009446     0.168        15       640    0.2939    0.4136    0.3207   0.08757   0.05688   0.07017    0.0121
    67/199     9.54G   0.05901    0.0991   0.00939    0.1675        12       640    0.2903    0.4138    0.3182   0.08647   0.05722   0.06979   0.01221
    68/199     9.54G   0.05911    0.1004  0.009301    0.1688        21       640    0.2842    0.3981    0.3197   0.08805   0.05696   0.07013   0.01379
    69/199     9.54G   0.05901    0.1007  0.009616    0.1693        21       640    0.2877    0.4104    0.3185   0.08791   0.05678   0.07014   0.01211
